1,Kane Williamson,New Zealand,859,859,2024-04-22,Flat
2,Joe Root,England,824,824,2024-04-22,Flat
3,Babar Azam,Pakistan,768,768,2024-04-22,Flat
3,Daryl Mitchell,New Zealand,768,768,2024-04-22,Flat
5,Steven Smith,Australia,757,757,2024-04-22,Flat
6,Rohit Sharma,India,751,751,2024-04-22,Flat
7,Yashasvi Jaiswal,India,740,740,2024-04-22,Flat
8,Dimuth Karunaratne,Sri Lanka,739,739,2024-04-22,Down
9,Virat Kohli,India,737,737,2024-04-22,Flat
10,Harry Brook,England,735,735,2024-04-22,Flat
11,Usman Khawaja,Australia,728,728,2024-04-22,Flat
12,Marnus Labuschagne,Australia,720,720,2024-04-22,Flat
13,Travis Head,Australia,697,697,2024-04-22,Flat
14,Saud Shakeel,Pakistan,693,693,2024-04-22,Up
15,Rishabh Pant,India,692,692,2024-04-22,Up
